n,L,iteration,method,lambda,rank,sp.corr,sp.pval,evar_tr,evar_va,evar,mse
10500,30,3,CSI,10.0,3,0.21030387095611583,4.3007089100010786e-51,0.093922349489376625,0.054271308057299822,0.049016836922205528,0.064299611380510172
10500,30,3,Nystrom,0,3,0.16691545880674849,1.4470647212960885e-32,0.017606821647388301,0.03066737419912079,0.027497100988745676,0.065754643090066817
10500,30,3,Nystrom,1.0000000000000001e-05,3,0.12574198420841079,4.4763997797566706e-19,0.019961795925823232,0.007401204701312768,0.015557578208023691,0.066561919921745455
10500,30,3,Nystrom,0.0001,3,0.13681441704076641,2.5382333453272992e-22,0.034394220379866045,0.029638909834376947,0.017598579598696016,0.066423920006139614
10500,30,3,Nystrom,0.001,3,0.083086927607593314,4.0085679348623178e-09,0.0066341100296845052,0.010883053895099647,0.0067090114501576932,0.067160205386615185
10500,30,3,Nystrom,0.01,3,0.1276258408633334,1.3126493122791351e-19,0.044761155731068758,0.027908791312344673,0.0038730852365979713,0.067351953211934754
10500,30,3,Nystrom,0.10000000000000001,3,0.18851417474963805,3.1902468379820823e-41,0.047126664339592332,0.041488009774575188,0.034639235893614694,0.065271736013853221
10500,30,3,Nystrom,1.0,3,0.66263566637939186,0.0,0.55982463111490255,0.45064796592291645,0.46534881084602492,0.036149813184353903
10500,30,3,Nystrom,10.0,3,0.24535462022168034,1.8977058741611049e-69,0.059117575769331118,0.043590508131254126,0.064416276688099197,0.06325839631922571
10500,30,3,ICD,0,3,0.19278440986875431,4.5752292032943651e-43,0.051489764564847558,0.017521801584191341,0.03816868501490292,0.065033096450402242
10500,30,3,ICD,1.0000000000000001e-05,3,0.19278440986875431,4.5752292032943651e-43,0.051489764564847405,0.017521802123465949,0.038168685057580497,0.065033096447516647
10500,30,3,ICD,0.0001,3,0.19278440986875431,4.5752292032943651e-43,0.051489764564844574,0.017521806976933948,0.038168685441673796,0.06503309642154663
10500,30,3,ICD,0.001,3,0.1927849683060788,4.5726599646148009e-43,0.051489764564559143,0.017521855511242072,0.038168689282371333,0.065033096161862369
10500,30,3,ICD,0.01,3,0.19278547615092093,4.5703247357951007e-43,0.051489764535981079,0.017522340816881431,0.038168727665862753,0.065033093566607608
10500,30,3,ICD,0.10000000000000001,3,0.19278078919423261,4.591921938625122e-43,0.051489761679734389,0.017527190131011432,0.03816910915332531,0.065033067772780187
10500,30,3,ICD,1.0,3,0.19275615555136036,4.7071118415031918e-43,0.051489477584534829,0.017575310865261051,0.038172690654972308,0.065032825613746251
10500,30,3,ICD,10.0,3,0.1924824956301189,6.1971361099287005e-43,0.051462532558931032,0.01802102409342729,0.038186481444552542,0.065031893165680851
10500,30,4,Mklaren,0,3,0.47317145950381395,1.9667801716147432e-277,0.26133299167712787,0.2444262143156993,0.22800356205807268,0.39937136033963444
10500,30,4,Mklaren,1.0000000000000001e-05,3,0.47317060116064746,1.9719345629975239e-277,0.26133299152269335,0.24442855724129878,0.22800559615613381,0.39937030805432611
10500,30,4,Mklaren,0.0001,3,0.47317090154715541,1.9701291947864855e-277,0.2613329762530186,0.244449612800788,0.22802387542047772,0.39936085177407887
10500,30,4,Mklaren,0.001,3,0.47319064377598713,1.8550252350705508e-277,0.26133146838657151,0.24465715437070137,0.22820396430645531,0.39926768768699233
10500,30,4,Mklaren,0.01,3,0.47360254092699594,5.2780937864740648e-278,0.2611979081736206,0.24646056765009169,0.22976211894368972,0.39846161876425124
10500,30,4,Mklaren,0.10000000000000001,3,0.47273108688305793,7.5249140246708402e-277,0.25576003973250105,0.25189624337464245,0.23452770126654796,0.39599627436426377
10500,30,4,Mklaren,1.0,3,0.45057233847232747,1.3235665663582396e-248,0.24427858430595173,0.22552229125081483,0.22702062073042309,0.39987985830136596
10500,30,4,Mklaren,10.0,3,0.44091685109757994,6.1658967549698754e-237,0.088018889362517644,0.088392315758210729,0.091370785521228279,0.47005461113023667
