kernel,d,n,p,method,lambda,rank,limit,time
exponential_kernel,100,10000,1,FITC,0.1,30,3600,4.4802000522613525
exponential_kernel,100,10000,1,align,0.1,30,3600,935.4361119270325
exponential_kernel,100,10000,1,Nystrom,0.1,30,3600,0.7405381202697754
exponential_kernel,100,10000,1,l2krr,0.1,30,3600,inf
exponential_kernel,100,10000,1,alignf,0.1,30,3600,901.8286089897156
exponential_kernel,100,10000,1,ICD,0.1,30,3600,0.8176300525665283
exponential_kernel,100,10000,1,RFF,0.1,30,3600,0.13047003746032715
exponential_kernel,100,10000,1,uniform,0.1,30,3600,568.2737820148468
exponential_kernel,100,31622,1,Mklaren,0.1,30,3600,12.817220211029053
exponential_kernel,100,31622,1,alignfc,0.1,30,3600,inf
exponential_kernel,100,31622,1,FITC,0.1,30,3600,11.769163131713867
exponential_kernel,100,31622,1,align,0.1,30,3600,inf
exponential_kernel,100,31622,1,Nystrom,0.1,30,3600,1.7634129524230957
exponential_kernel,100,31622,1,l2krr,0.1,30,3600,inf
exponential_kernel,100,31622,1,alignf,0.1,30,3600,inf
exponential_kernel,100,31622,1,uniform,0.1,30,3600,inf
exponential_kernel,100,31622,1,RFF,0.1,30,3600,0.29398012161254883
exponential_kernel,100,31622,1,ICD,0.1,30,3600,2.073988914489746
exponential_kernel,100,100000,1,Mklaren,0.1,30,3600,50.115055084228516
exponential_kernel,100,100000,1,alignfc,0.1,30,3600,inf
exponential_kernel,100,100000,1,FITC,0.1,30,3600,45.39865708351135
exponential_kernel,100,100000,1,align,0.1,30,3600,inf
exponential_kernel,100,100000,1,Nystrom,0.1,30,3600,6.1890881061553955
exponential_kernel,100,100000,1,l2krr,0.1,30,3600,inf
exponential_kernel,100,100000,1,alignf,0.1,30,3600,inf
exponential_kernel,100,100000,1,uniform,0.1,30,3600,inf
exponential_kernel,100,100000,1,RFF,0.1,30,3600,1.56575608253479
exponential_kernel,100,100000,1,ICD,0.1,30,3600,7.877504825592041
exponential_kernel,100,316227,1,Mklaren,0.1,30,3600,166.47307300567627
exponential_kernel,100,316227,1,CSI,0.1,30,3600,inf
exponential_kernel,100,316227,1,alignfc,0.1,30,3600,inf
exponential_kernel,100,316227,1,FITC,0.1,30,3600,155.92041683197021
exponential_kernel,100,316227,1,align,0.1,30,3600,inf
exponential_kernel,100,316227,1,Nystrom,0.1,30,3600,19.959527015686035
exponential_kernel,100,316227,1,l2krr,0.1,30,3600,inf
exponential_kernel,100,316227,1,alignf,0.1,30,3600,inf
exponential_kernel,100,316227,1,uniform,0.1,30,3600,inf
